task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
49	79/b050be	33306766	fastcat (45)	COMPLETED	0	2024-04-16 14:24:46.888	3m 49s	38.8s	72.8%	11.7 MB	25.3 MB	1.3 GB	1 GB
64	43/54f9e4	33306781	fastcat (60)	COMPLETED	0	2024-04-16 14:25:01.200	3m 35s	38.2s	62.4%	11.4 MB	25.3 MB	1.3 GB	952.7 MB
65	56/271769	33306782	fastcat (61)	COMPLETED	0	2024-04-16 14:25:02.301	3m 34s	38s	76.3%	11.4 MB	25.5 MB	1.2 GB	1014.3 MB
69	d6/179841	33306786	fastcat (65)	COMPLETED	0	2024-04-16 14:25:06.671	3m 29s	35s	62.6%	12.4 MB	25.5 MB	1.1 GB	779.5 MB
72	4a/2ed83f	33306788	fastcat (68)	COMPLETED	0	2024-04-16 14:25:08.849	3m 32s	39.7s	74.4%	11.3 MB	25.3 MB	1.4 GB	1.1 GB
75	40/58dbf6	33306792	fastcat (71)	COMPLETED	0	2024-04-16 14:25:12.221	3m 29s	39.9s	58.2%	12 MB	25.6 MB	1.2 GB	892.9 MB
78	cc/273141	33306796	fastcat (74)	COMPLETED	0	2024-04-16 14:25:16.561	3m 24s	43.1s	73.1%	11.8 MB	25.4 MB	1.4 GB	1.1 GB
46	db/815ce5	33306763	fastcat (42)	COMPLETED	0	2024-04-16 14:24:43.653	4m 2s	48.6s	67.5%	12.2 MB	25.7 MB	1.4 GB	1.2 GB
44	c7/3c2bba	33306762	fastcat (40)	COMPLETED	0	2024-04-16 14:24:42.573	4m 13s	58.4s	34.7%	11.5 MB	66.2 MB	1 GB	790.9 MB
79	50/5dbb1b	33306795	fastcat (75)	COMPLETED	0	2024-04-16 14:25:15.486	3m 55s	1m 11s	71.8%	11.6 MB	25.2 MB	2.3 GB	1.8 GB
6	6c/8b82fb	33306723	fastcat (2)	COMPLETED	0	2024-04-16 14:24:29.146	4m 57s	3m 26s	31.7%	11.7 MB	66.2 MB	2.8 GB	2.1 GB
4	9b/1656d5	33306798	kraken_pipeline:run_common:getParams	COMPLETED	0	2024-04-16 14:25:18.742	4m 42s	98ms	7.3%	0	0	82.7 KB	3.8 KB
80	fa/093287	33306810	kraken_pipeline:output (1)	COMPLETED	0	2024-04-16 14:28:06.124	1m 55s	6ms	9.9%	0	0	78.9 KB	266 B
2	1e/bfc4da	33306799	prepare_databases:unpack_download_kraken2_database	COMPLETED	0	2024-04-16 14:25:19.831	5m 1s	18.8s	3.1%	11.2 MB	16.2 MB	61.8 MB	71.8 MB
1	66/5b5d07	33306800	prepare_databases:download_unpack_taxonomy	COMPLETED	0	2024-04-16 14:25:20.922	5m 5s	25.2s	10.1%	11.4 MB	16.2 MB	115 MB	460.2 MB
62	fe/e5234b	33306779	fastcat (58)	COMPLETED	0	2024-04-16 14:24:59.031	5m 51s	2m 40s	79.6%	11.5 MB	66.2 MB	5.7 GB	4.8 GB
66	63/af9ba3	33306783	fastcat (62)	COMPLETED	0	2024-04-16 14:25:03.396	5m 47s	2m 44s	33.7%	11.9 MB	757.8 MB	2.5 GB	2.1 GB
12	d6/907ef4	33306729	fastcat (8)	COMPLETED	0	2024-04-16 14:24:29.978	6m 20s	4m 46s	33.7%	65.3 MB	1.4 GB	4.1 GB	3.4 GB
71	4e/06e1c6	33306789	fastcat (67)	COMPLETED	0	2024-04-16 14:25:09.933	6m 15s	3m 25s	33.3%	11.5 MB	49.4 MB	2.9 GB	2.2 GB
59	73/2fc4ab	33306776	fastcat (55)	COMPLETED	0	2024-04-16 14:24:56.792	6m 48s	3m 44s	30.6%	64 MB	1.4 GB	2.8 GB	2.2 GB
50	d4/b7c34f	33306767	fastcat (46)	COMPLETED	0	2024-04-16 14:24:47.966	7m 2s	3m 51s	29.2%	11.9 MB	1.4 GB	2.9 GB	2.3 GB
81	de/540ad3	33306815	kraken_pipeline:output (2)	COMPLETED	0	2024-04-16 14:30:01.060	1m 59s	4ms	39.4%	0	0	79.1 KB	268 B
85	75/25ab55	33306816	prepare_databases:determine_bracken_length	COMPLETED	0	2024-04-16 14:30:21.381	1m 44s	161ms	10.5%	0	0	114.9 KB	380 B
83	62/ed07c3	33306817	kraken_pipeline:run_kraken2 (2)	COMPLETED	0	2024-04-16 14:30:21.464	1m 44s	1.9s	46.3%	133.1 MB	174.3 MB	42.1 MB	4.5 MB
82	49/185e7d	33306818	kraken_pipeline:run_kraken2 (1)	COMPLETED	0	2024-04-16 14:30:21.545	1m 44s	1.9s	47.3%	139.4 MB	183.2 MB	40.9 MB	4.4 MB
86	56/2fab23	33306819	kraken_pipeline:run_kraken2 (4)	COMPLETED	0	2024-04-16 14:30:21.656	1m 43s	3.3s	82.0%	142.3 MB	179.2 MB	94.1 MB	19.7 MB
84	09/d79cea	33306820	kraken_pipeline:run_kraken2 (3)	COMPLETED	0	2024-04-16 14:30:21.756	1m 43s	2.5s	105.9%	163.6 MB	190.5 MB	76.6 MB	15 MB
